Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.84,-0.75,1.02,20250105012301
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.82,-0.75,1.04,20250105010041
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.8,-0.75,1.06,20250105003404
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.9,-0.75,0.96,20250105001804
布莱顿 vs 阿森纳,1-1,0-1,澳*,1.04,-0.5,0.82,20250104150910
布莱顿 vs 阿森纳,1-1,0-1,澳*,1.02,-0.5,0.84,20250104115242
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.98,-0.5,0.88,20250104071053
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.8,-0.75,1.06,20250104042505
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.86,-0.75,1.0,20241231095407
布莱顿 vs 阿森纳,1-1,0-1,澳*,0.9,-0.75,0.96,20241230205134
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.88,-0.75,1.01,20250105012720
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.86,-0.75,1.03,20250105012127
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.85,-0.75,1.04,20250105011950
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.08,-0.5,0.81,20250105011918
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250105011814
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250105011429
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.03,-0.5,0.86,20250105010602
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250105010251
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250105010219
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250105005904
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.07,-0.5,0.82,20250105004409
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250105003808
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250105003555
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.07,-0.5,0.82,20250105003522
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.82,-0.75,1.07,20250105003309
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.83,-0.75,1.06,20250105003056
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.86,-0.75,1.03,20250105002234
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.88,-0.75,1.01,20250105002053
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.9,-0.75,0.99,20250105002020
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.92,-0.75,0.97,20250105001840
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.91,-0.75,0.98,20250105001732
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.93,-0.75,0.96,20250105001659
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.88,-0.75,1.01,20250105001626
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.86,-0.75,1.03,20250105000838
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.09,-0.5,0.8,20250105000802
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.08,-0.5,0.81,20250105000728
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250105000230
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250105000153
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250104235951
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.07,-0.5,0.82,20250104235916
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250104235843
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.83,-0.75,1.06,20250104234827
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.84,-0.75,1.05,20250104234647
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.85,-0.75,1.04,20250104234613
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.86,-0.75,1.03,20250104233927
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.87,-0.75,1.02,20250104233851
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.85,-0.75,1.04,20250104233241
布莱顿 vs 阿森纳,1-1,0-1,Crow*,0.83,-0.75,1.06,20250104232436
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.07,-0.5,0.82,20250104232402
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250104232327
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250104230854
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250104230745
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.03,-0.5,0.86,20250104225725
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250104224507
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.03,-0.5,0.86,20250104224308
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250104221018
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250104213058
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.03,-0.5,0.86,20250104212207
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.04,-0.5,0.85,20250104211844
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250104205926
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.06,-0.5,0.83,20250104202428
布莱顿 vs 阿森纳,1-1,0-1,Crow*,1.05,-0.5,0.84,20250104200245
