Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.8,1.5,1.06,20250117033336
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.84,1.5,1.02,20250117015655
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.96,1.5,0.9,20250117001501
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.87,1.5,0.99,20250116221003
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.9,1.5,0.96,20250116173037
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.88,1.5,0.98,20250116151101
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.91,1.5,0.95,20250116134751
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.86,1.5,1.0,20250116134657
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.84,1.5,1.02,20250116122132
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.88,1.5,0.98,20250115154935
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.86,1.5,1.0,20250113101802
曼彻斯特联 vs 南安普敦,3-1,0-1,澳*,0.83,1.5,1.03,20250112182424
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.03,1.75,0.86,20250117035438
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.05,1.75,0.84,20250117034847
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.04,1.75,0.85,20250117034607
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.03,1.75,0.86,20250117033525
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.02,1.75,0.87,20250117032516
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.0,1.75,0.89,20250117030937
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.01,1.75,0.88,20250117025614
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.02,1.75,0.87,20250117025510
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.03,1.75,0.86,20250117025404
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.02,1.75,0.87,20250117025157
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.0,1.75,0.89,20250117025052
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,1.01,1.75,0.88,20250117025020
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.82,1.5,1.07,20250117024812
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.88,1.5,1.01,20250117024457
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.89,1.5,1.0,20250117024424
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.86,1.5,1.03,20250117020738
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.87,1.5,1.02,20250117020634
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.88,1.5,1.01,20250117020216
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.87,1.5,1.02,20250117020111
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.86,1.5,1.03,20250117014712
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.88,1.5,1.01,20250117014640
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.87,1.5,1.02,20250117014607
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.9,1.5,0.99,20250117014007
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.89,1.5,1.0,20250117013337
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.9,1.5,0.99,20250117013159
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.91,1.5,0.98,20250117013127
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.92,1.5,0.97,20250117013020
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250117012948
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250117012914
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250117012135
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.98,1.5,0.91,20250117010935
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250117005358
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250117004617
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250117003659
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.98,1.5,0.91,20250117001427
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250117001110
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250117000616
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250117000016
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250116234121
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.96,1.5,0.93,20250116233211
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.97,1.5,0.92,20250116232926
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.94,1.5,0.95,20250116232854
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.93,1.5,0.96,20250116232609
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.92,1.5,0.97,20250116231807
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.89,1.5,1.0,20250116230458
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.88,1.5,1.01,20250116224208
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.89,1.5,1.0,20250116220142
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.9,1.5,0.99,20250116214745
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.91,1.5,0.98,20250116213829
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.9,1.5,0.99,20250116213404
曼彻斯特联 vs 南安普敦,3-1,0-1,Crow*,0.91,1.5,0.98,20250116191404
