Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.0,1.5,0.86,20250105233746
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.98,1.5,0.88,20250105231806
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.04,1.5,0.82,20250105225647
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.02,1.5,0.84,20250105224341
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.04,1.5,0.82,20250105221011
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.02,1.5,0.84,20250105211818
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.04,1.5,0.82,20250105203409
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.06,1.5,0.8,20250105192826
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.1,1.5,0.76,20250105175115
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.08,1.5,0.78,20250105164618
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.06,1.5,0.8,20250105160318
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.04,1.5,0.82,20250105143140
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.94,1.5,0.92,20250105122613
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.9,1.5,0.96,20250105071112
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.06,1.75,0.8,20250105060833
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.02,1.75,0.84,20250104181402
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.04,1.75,0.82,20250104150911
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,1.06,1.75,0.8,20250104072640
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.98,1.75,0.88,20250103061400
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.92,1.75,0.94,20250102073222
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.82,1.75,1.04,20250101144419
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.98,1.75,0.88,20241231095834
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.92,1.75,0.94,20241231071833
利物浦 vs 曼彻斯特联,2-2,0-0,澳*,0.85,1.5,1.01,20241230204537
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.0,1.5,0.89,20250106002857
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250106002751
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.03,1.5,0.86,20250106001615
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250106001144
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.01,1.5,0.88,20250106001036
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250106000749
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.03,1.5,0.86,20250106000425
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250106000236
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250106000202
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.01,1.5,0.88,20250106000129
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250106000022
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.01,1.5,0.88,20250105235335
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250105234037
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105233745
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.03,1.5,0.86,20250105233603
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250105233529
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.01,1.5,0.88,20250105232124
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.0,1.5,0.89,20250105232016
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,0.99,1.5,0.9,20250105231727
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105230853
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105225441
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.03,1.5,0.86,20250105225403
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.02,1.5,0.87,20250105225027
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105223930
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105222924
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105222243
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105221751
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.06,1.5,0.83,20250105221142
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105214904
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105214055
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105212049
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105205649
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105204333
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.04,1.5,0.85,20250105204134
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105202026
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.07,1.5,0.82,20250105201945
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105201827
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,0.84,1.25,1.05,20250105193918
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,0.85,1.25,1.04,20250105193447
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.07,1.5,0.82,20250105192733
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.08,1.5,0.81,20250105190041
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.07,1.5,0.82,20250105185154
利物浦 vs 曼彻斯特联,2-2,0-0,Crow*,1.05,1.5,0.84,20250105184950
