Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,0.84,-1.0,1.02,20250115025735
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,1.06,-0.75,0.8,20250114223246
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,1.04,-0.75,0.82,20250114151830
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,1.06,-0.75,0.8,20250113214523
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,1.0,-0.75,0.86,20250113060606
诺丁汉森林 vs 利物浦,1-1,1-0,澳*,0.94,-0.75,0.92,20250112182007
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.83,-1.0,1.06,20250115035951
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.84,-1.0,1.05,20250115035848
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.85,-1.0,1.04,20250115035715
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.86,-1.0,1.03,20250115035027
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.87,-1.0,1.02,20250115034016
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.86,-1.0,1.03,20250115033043
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.85,-1.0,1.04,20250115032135
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.84,-1.0,1.05,20250115031402
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.85,-1.0,1.04,20250115031327
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.87,-1.0,1.02,20250115031217
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.88,-1.0,1.01,20250115030551
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.86,-1.0,1.03,20250115025816
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.87,-1.0,1.02,20250115025441
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.82,-1.0,1.07,20250115013025
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.81,-1.0,1.08,20250115012842
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.07,-0.75,0.82,20250115012807
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250115002633
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.83,20250115000048
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250114235457
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.83,20250114234213
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250114234103
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.07,-0.75,0.82,20250114232903
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.82,-1.0,1.07,20250114230313
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.81,-1.0,1.08,20250114225434
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.82,-1.0,1.07,20250114224258
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.81,-1.0,1.08,20250114212003
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.8,-1.0,1.09,20250114211300
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.82,-1.0,1.07,20250114205219
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.09,-0.75,0.8,20250114204138
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.82,-1.0,1.07,20250114203637
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,0.83,-1.0,1.06,20250114203452
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.09,-0.75,0.8,20250114203416
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.07,-0.75,0.82,20250114202740
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250114202254
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.83,20250114194844
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.08,-0.75,0.81,20250114174739
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.07,-0.75,0.82,20250114164841
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.83,20250114162518
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250114135208
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.04,-0.75,0.85,20250114135135
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.05,-0.75,0.84,20250114130857
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.83,20250114115403
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.07,-0.75,0.82,20250114045611
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.06,-0.75,0.82,20250113154303
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.01,-0.75,0.87,20250113031103
诺丁汉森林 vs 利物浦,1-1,1-0,Crow*,1.0,-0.75,0.88,20250113030705
