Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.78,1.75,1.08,20250104212215
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.89,1.75,0.97,20250104204033
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.9,1.75,0.96,20250104154238
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.96,1.75,0.9,20250104125641
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.78,1.5,1.08,20250104061430
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.82,1.5,1.04,20250103151544
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.86,1.5,1.0,20241231095126
曼彻斯特城 vs 西汉姆联,4-1,2-0,澳*,0.89,1.5,0.97,20241230203940
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,2.0,0.91,20250104225846
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.0,2.0,0.89,20250104225144
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.99,2.0,0.9,20250104224704
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.01,2.0,0.88,20250104224425
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.02,2.0,0.87,20250104224346
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.03,2.0,0.86,20250104223555
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.05,2.0,0.84,20250104222737
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.04,2.0,0.85,20250104222215
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.05,2.0,0.84,20250104222056
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.06,2.0,0.83,20250104221857
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.07,2.0,0.82,20250104221817
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.06,2.0,0.83,20250104221657
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.05,2.0,0.84,20250104215401
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.04,2.0,0.85,20250104215321
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.06,2.0,0.83,20250104213539
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.05,2.0,0.84,20250104212328
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.06,2.0,0.83,20250104212246
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.04,2.0,0.85,20250104212045
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.87,1.75,1.02,20250104212005
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.88,1.75,1.01,20250104211542
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104210740
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104210333
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104205436
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.91,1.75,0.98,20250104205147
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104204942
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.9,1.75,0.99,20250104204619
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.91,1.75,0.98,20250104204042
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104203224
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.75,0.94,20250104203147
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104203106
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.75,0.94,20250104202941
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.91,1.75,0.98,20250104202013
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.9,1.75,0.99,20250104201930
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.91,1.75,0.98,20250104201849
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104200621
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104195200
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104194742
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104194034
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104191336
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104190024
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104185857
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104185305
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104185224
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104184032
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104183305
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104174012
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.75,0.94,20250104173930
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104162846
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104160520
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.75,0.97,20250104152440
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.75,0.96,20250104152313
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.94,1.75,0.95,20250104141458
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.75,0.94,20250104132542
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.96,1.75,0.93,20250104130616
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.97,1.75,0.92,20250104125502
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.99,1.75,0.9,20250104122354
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,1.75,0.91,20250104121020
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.97,1.75,0.92,20250104120936
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,1.75,0.91,20250104105918
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.0,1.75,0.89,20250104103615
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.99,1.75,0.9,20250104054501
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,1.75,0.91,20250104053442
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.97,1.75,0.91,20250104051350
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,1.75,0.9,20250104042721
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.02,1.75,0.86,20250104041626
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.83,1.5,1.05,20250104041345
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,1.02,1.75,0.86,20250104041222
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.83,1.5,1.05,20250103125701
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.85,1.5,1.03,20250101233925
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.86,1.5,1.02,20250101233819
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.87,1.5,1.01,20250101143703
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.84,1.5,1.04,20250101112708
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.87,1.5,1.01,20241231054547
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.9,1.5,0.98,20241230141748
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.5,0.96,20241230093113
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.9,1.5,0.98,20241230092751
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.93,1.5,0.95,20241228123223
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.5,0.93,20241228122905
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.98,1.5,0.9,20241228122801
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.5,0.96,20241227222734
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.5,0.93,20241227222509
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.92,1.5,0.96,20241227222354
曼彻斯特城 vs 西汉姆联,4-1,2-0,Crow*,0.95,1.5,0.93,20241227221854
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.02,2.0,0.88,20250104224500
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.07,2.0,0.86,20250104222904
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.08,2.0,0.85,20250104222153
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.07,2.0,0.86,20250104221746
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.06,2.0,0.87,20250104215731
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.08,2.0,0.85,20250104215542
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.07,2.0,0.86,20250104215114
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.06,2.0,0.87,20250104212553
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.03,2.0,0.9,20250104212400
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.06,2.0,0.87,20250104212333
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.88,1.75,1.05,20250104212019
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.89,1.75,1.04,20250104211636
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.95,1.75,0.98,20250104210527
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.93,1.75,1.0,20250104205934
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.92,1.75,1.01,20250104205027
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.93,1.75,1.0,20250104205009
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.92,1.75,1.01,20250104204441
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.93,1.75,1.0,20250104202127
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.94,1.75,0.99,20250104200613
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.95,1.75,0.98,20250104191016
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.94,1.75,0.99,20250104184038
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.95,1.75,0.98,20250104174411
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.98,1.75,0.95,20250104174214
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.94,1.75,0.99,20250104155013
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.95,1.75,0.98,20250104154609
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.94,1.75,0.99,20250104152604
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.95,1.75,0.98,20250104135653
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.98,1.75,0.95,20250104133209
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.99,1.75,0.94,20250104125923
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.0,1.75,0.93,20250104124717
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.99,1.75,0.91,20250104122836
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.0,1.75,0.9,20250104122427
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.99,1.75,0.91,20250104121620
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.98,1.75,0.92,20250104112719
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.99,1.75,0.91,20250104105014
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.98,1.75,0.92,20250104104002
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.0,1.75,0.9,20250104065216
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.99,1.75,0.91,20250104043021
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.01,1.75,0.89,20250104041447
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250103212542
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.84,1.5,1.06,20250103205439
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.06,1.75,0.84,20250103202225
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.85,1.5,1.05,20250103121920
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250102210812
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.85,1.5,1.05,20250102172621
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.86,1.5,1.04,20250102144858
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250102111317
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.85,1.5,1.05,20250102105240
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250102023420
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.84,1.5,1.06,20250101235428
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250101232314
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,0.85,1.5,1.05,20250101212328
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.05,1.75,0.85,20250101164406
曼彻斯特城 vs 西汉姆联,4-1,2-0,36*,1.04,1.75,0.86,20250101113135
