Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,1.06,-1.25,0.8,20250119234450
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,1.02,-1.25,0.84,20250119232827
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.96,-1.25,0.9,20250119225222
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.88,-1.25,0.98,20250119212838
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.86,-1.25,1.0,20250119204430
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.88,-1.25,0.98,20250119190602
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.82,-1.5,1.04,20250119133015
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.86,-1.5,1.0,20250119073754
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.9,-1.5,0.96,20250118061053
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,0.96,-1.5,0.9,20250115070820
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,澳*,1.0,-1.5,0.86,20250113221811
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.8,-1.5,1.09,20250120002946
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.82,-1.5,1.07,20250120002832
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.84,-1.5,1.05,20250120002754
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250120002637
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.82,-1.5,1.07,20250120002222
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.83,-1.5,1.06,20250120002110
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.84,-1.5,1.05,20250120002033
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250120001540
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.83,-1.5,1.06,20250120001120
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.84,-1.5,1.05,20250120000601
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250120000525
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.84,-1.5,1.05,20250120000141
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.82,-1.5,1.07,20250119235835
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250119235757
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.87,-1.5,1.02,20250119235409
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250119235331
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.83,-1.5,1.06,20250119235254
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.5,1.04,20250119235217
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.08,-1.25,0.81,20250119235102
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.06,-1.25,0.83,20250119234710
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.07,-1.25,0.82,20250119233931
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.05,-1.25,0.84,20250119233853
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.04,-1.25,0.85,20250119233739
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.03,-1.25,0.86,20250119233231
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.05,-1.25,0.84,20250119232951
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.04,-1.25,0.85,20250119232414
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.05,-1.25,0.84,20250119232254
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.01,-1.25,0.88,20250119232216
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.03,-1.25,0.86,20250119232058
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.01,-1.25,0.88,20250119231818
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.0,-1.25,0.89,20250119231305
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.99,-1.25,0.9,20250119231107
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.98,-1.25,0.91,20250119230752
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.99,-1.25,0.9,20250119225704
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.0,-1.25,0.89,20250119225504
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.98,-1.25,0.91,20250119225425
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.97,-1.25,0.92,20250119225226
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.96,-1.25,0.93,20250119222748
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.97,-1.25,0.92,20250119222427
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.93,-1.25,0.96,20250119222002
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.92,-1.25,0.97,20250119221359
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.91,-1.25,0.98,20250119221157
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.9,-1.25,0.99,20250119212559
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.88,-1.25,1.01,20250119205655
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.87,-1.25,1.02,20250119204016
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.86,-1.25,1.03,20250119203645
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.84,-1.25,1.05,20250119203309
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.83,-1.25,1.06,20250119195819
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.82,-1.25,1.07,20250119193218
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.08,-1.0,0.81,20250119191327
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.07,-1.0,0.82,20250119191240
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.8,-1.25,1.09,20250119191109
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.82,-1.25,1.07,20250119191022
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.83,-1.25,1.06,20250119190852
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.85,-1.25,1.04,20250119190549
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.87,-1.25,1.02,20250119190502
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.92,-1.25,0.97,20250119190420
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.97,-1.25,0.92,20250119190034
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.99,-1.25,0.9,20250119184558
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.0,-1.25,0.89,20250119180607
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.02,-1.25,0.87,20250119180518
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.0,-1.25,0.89,20250119163659
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,0.99,-1.25,0.9,20250119163431
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.01,-1.25,0.88,20250119161100
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.0,-1.25,0.89,20250119152549
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.02,-1.25,0.87,20250119152500
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.04,-1.25,0.85,20250119151315
伊普斯维奇 vs 曼彻斯特城,0-6,0-3,Crow*,1.05,-1.25,0.84,20250119143331
