Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
拉齐奥 vs 佛罗伦萨,1-2,0-2,澳*,1.1,0.5,0.76,20250127032351
拉齐奥 vs 佛罗伦萨,1-2,0-2,澳*,1.04,0.5,0.82,20250122152429
拉齐奥 vs 佛罗伦萨,1-2,0-2,澳*,0.82,0.25,1.04,20250120210510
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.87,0.25,1.02,20250127034347
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.86,0.25,1.03,20250127034058
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.87,0.25,1.02,20250127034025
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.86,0.25,1.03,20250127033843
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.85,0.25,1.04,20250127033627
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.84,0.25,1.05,20250127025922
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.83,0.25,1.06,20250127025847
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.09,0.5,0.8,20250127025336
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.08,0.5,0.81,20250127024856
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.83,20250127023542
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.05,0.5,0.84,20250127023432
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.83,20250127004159
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.07,0.5,0.82,20250127004123
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.83,20250127003013
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.05,0.5,0.84,20250126235933
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.02,0.5,0.87,20250126235854
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.83,20250126222048
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.07,0.5,0.82,20250126221142
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.83,20250126212627
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.8,0.25,1.09,20250126202934
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.81,0.25,1.08,20250126201720
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.82,0.25,1.07,20250126190943
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.84,0.25,1.05,20250126180314
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.83,0.25,1.06,20250126162213
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.08,0.5,0.81,20250126153818
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.09,0.5,0.8,20250126152030
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.82,0.25,1.07,20250126150907
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.07,0.5,0.82,20250126150604
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.02,0.5,0.87,20250126125156
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.03,0.5,0.86,20250126123416
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.04,0.5,0.85,20250126122938
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.02,0.5,0.87,20250126121028
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.04,0.5,0.85,20250126030717
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.03,0.5,0.85,20250124043715
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,1.06,0.5,0.82,20250121211321
拉齐奥 vs 佛罗伦萨,1-2,0-2,Crow*,0.83,0.25,1.05,20250116080305
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.05,20250127034049
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.06,20250127033242
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250127032130
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.09,20250127031000
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.86,0.25,1.07,20250127025926
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250127025648
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.09,20250127025140
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.09,0.5,0.84,20250127024354
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.08,0.5,0.85,20250127012223
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.07,0.5,0.86,20250127005542
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.08,0.5,0.85,20250127004006
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.07,0.5,0.86,20250127000140
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.09,0.5,0.84,20250126233537
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.08,0.5,0.85,20250126203259
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.09,0.5,0.84,20250126191230
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126181628
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.86,0.25,1.07,20250126180543
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126180212
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.09,20250126174440
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126173951
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.09,20250126162657
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126154850
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.1,0.5,0.83,20250126154236
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126152617
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.84,0.25,1.09,20250126151549
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,0.85,0.25,1.08,20250126150917
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.07,0.5,0.86,20250126150628
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.04,0.5,0.89,20250126121652
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.05,0.5,0.88,20250126120844
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.06,0.5,0.87,20250126064416
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.05,0.5,0.88,20250126063921
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.04,0.5,0.89,20250126040017
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.05,0.5,0.88,20250126035717
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.04,0.5,0.89,20250126031138
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.05,0.5,0.88,20250125042343
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.06,0.5,0.87,20250125033501
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.05,0.5,0.88,20250125024102
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.04,0.5,0.89,20250124095705
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.02,0.5,0.88,20250124064742
拉齐奥 vs 佛罗伦萨,1-2,0-2,36*,1.04,0.5,0.86,20250124050210
