Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,0.98,1.0,0.88,20250118215910
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,1.0,1.0,0.86,20250118205541
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,0.84,0.75,1.02,20250118190925
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,0.77,0.75,1.09,20250118072502
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,0.8,0.75,1.06,20250117073112
博洛尼亚 vs 蒙扎,3-1,2-1,澳*,0.83,0.75,1.03,20250113231543
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.05,1.0,0.84,20250118213334
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.04,1.0,0.85,20250118213247
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.06,1.0,0.83,20250118212526
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.07,1.0,0.82,20250118212443
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.09,1.0,0.8,20250118211424
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.06,1.0,0.83,20250118211337
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.05,1.0,0.84,20250118210832
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.04,1.0,0.85,20250118205929
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.05,1.0,0.84,20250118205756
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.04,1.0,0.85,20250118205539
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.03,1.0,0.86,20250118205404
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.02,1.0,0.87,20250118205149
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.99,1.0,0.9,20250118205020
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.83,0.75,1.06,20250118204144
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.84,0.75,1.05,20250118203332
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.83,0.75,1.06,20250118203034
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.84,0.75,1.05,20250118200356
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.85,0.75,1.04,20250118194208
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.86,0.75,1.03,20250118191924
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.87,0.75,1.02,20250118191445
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.86,0.75,1.03,20250118190148
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.85,0.75,1.04,20250118185600
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.86,0.75,1.03,20250118180824
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,0.85,0.75,1.04,20250118174234
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.12,1.0,0.78,20250118174145
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.09,1.0,0.8,20250118163304
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.08,1.0,0.81,20250118163215
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.07,1.0,0.82,20250118161947
博洛尼亚 vs 蒙扎,3-1,2-1,Crow*,1.08,1.0,0.81,20250118161331
