Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
拉齐奥 vs 科莫,1-1,1-0,澳*,1.02,0.5,0.84,20250111025425
拉齐奥 vs 科莫,1-1,1-0,澳*,0.94,0.5,0.92,20250110220815
拉齐奥 vs 科莫,1-1,1-0,澳*,0.92,0.5,0.94,20250110152247
拉齐奥 vs 科莫,1-1,1-0,澳*,0.84,0.5,1.02,20250110145501
拉齐奥 vs 科莫,1-1,1-0,澳*,1.04,0.75,0.82,20250107074207
拉齐奥 vs 科莫,1-1,1-0,澳*,1.02,0.75,0.84,20250106182605
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.07,0.5,0.82,20250111034432
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.05,0.5,0.84,20250111033941
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.06,0.5,0.83,20250111033908
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.05,0.5,0.84,20250111033521
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.04,0.5,0.85,20250111033417
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.03,0.5,0.86,20250111033344
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.08,0.5,0.81,20250111033312
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.09,0.5,0.8,20250111032146
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.11,0.5,0.79,20250111031722
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.09,0.5,0.8,20250111031612
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.07,0.5,0.82,20250111031507
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.05,0.5,0.84,20250111031042
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.06,0.5,0.83,20250111031007
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.05,0.5,0.84,20250111030827
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.04,0.5,0.85,20250111030754
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.05,0.5,0.84,20250111025931
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.03,0.5,0.86,20250111025417
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.02,0.5,0.87,20250111025306
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.01,0.5,0.88,20250111025132
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.99,0.5,0.9,20250111025057
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250111025023
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250111024841
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.98,0.5,0.91,20250111020743
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.99,0.5,0.9,20250111020708
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.01,0.5,0.88,20250111013623
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.0,0.5,0.89,20250111013406
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.01,0.5,0.88,20250111011124
拉齐奥 vs 科莫,1-1,1-0,Crow*,1.0,0.5,0.89,20250111011015
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.99,0.5,0.9,20250111010942
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.98,0.5,0.91,20250111010540
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250111004551
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250111001712
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250111001207
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110235938
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110235100
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110232618
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110231630
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110224802
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110224602
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110222358
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.95,0.5,0.94,20250110220805
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110215629
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110215554
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110215518
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.95,0.5,0.94,20250110214058
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.94,0.5,0.95,20250110213201
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.95,0.5,0.94,20250110213125
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110205449
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110204202
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.98,0.5,0.91,20250110203446
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110203255
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.96,0.5,0.93,20250110202723
拉齐奥 vs 科莫,1-1,1-0,Crow*,0.97,0.5,0.92,20250110202642
