Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
热那亚 vs 蒙扎,2-0,0-0,澳*,0.96,0.25,0.9,20250128024728
热那亚 vs 蒙扎,2-0,0-0,澳*,0.9,0.25,0.96,20250127190845
热那亚 vs 蒙扎,2-0,0-0,澳*,0.92,0.25,0.94,20250127131314
热那亚 vs 蒙扎,2-0,0-0,澳*,0.9,0.25,0.96,20250120210512
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.94,0.25,0.95,20250128034444
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.95,0.25,0.94,20250128034412
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.96,0.25,0.93,20250128033548
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.97,0.25,0.92,20250128033414
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.98,0.25,0.91,20250128033342
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.97,0.25,0.92,20250128032928
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.96,0.25,0.93,20250128032753
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.97,0.25,0.92,20250128025703
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.96,0.25,0.93,20250128025631
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.97,0.25,0.92,20250128025527
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.98,0.25,0.91,20250128025245
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.99,0.25,0.9,20250128024828
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.98,0.25,0.91,20250128024618
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.95,0.25,0.94,20250128024336
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.94,0.25,0.95,20250128024303
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.96,0.25,0.93,20250128024127
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.95,0.25,0.94,20250128024022
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.93,0.25,0.96,20250128023429
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.92,0.25,0.97,20250128023357
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.94,0.25,0.95,20250128022230
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.95,0.25,0.94,20250128021017
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.96,0.25,0.93,20250128020705
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.95,0.25,0.94,20250128010604
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.94,0.25,0.95,20250128004346
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.93,0.25,0.96,20250128003418
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.92,0.25,0.97,20250127230452
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.98,20250127230346
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.9,0.25,0.99,20250127213648
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.98,20250127213326
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.9,0.25,0.99,20250127200510
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.98,20250127193301
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.9,0.25,0.99,20250127192143
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.98,20250127191422
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.92,0.25,0.97,20250127191348
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.98,20250127163844
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.9,0.25,0.99,20250127162354
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.94,0.25,0.95,20250127122759
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.92,0.25,0.97,20250127025927
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.92,0.25,0.96,20250123164535
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.91,0.25,0.97,20250120101140
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.87,0.25,1.01,20250120072308
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.83,0.25,1.05,20250119030245
热那亚 vs 蒙扎,2-0,0-0,Crow*,0.86,0.25,1.02,20250116080823
热那亚 vs 蒙扎,2-0,0-0,36*,0.97,0.25,0.93,20250128032958
热那亚 vs 蒙扎,2-0,0-0,36*,0.98,0.25,0.95,20250128032955
热那亚 vs 蒙扎,2-0,0-0,36*,0.99,0.25,0.94,20250128025826
热那亚 vs 蒙扎,2-0,0-0,36*,1.01,0.25,0.92,20250128025100
热那亚 vs 蒙扎,2-0,0-0,36*,1.0,0.25,0.93,20250128024832
热那亚 vs 蒙扎,2-0,0-0,36*,0.96,0.25,0.97,20250128024604
热那亚 vs 蒙扎,2-0,0-0,36*,0.97,0.25,0.96,20250128024335
热那亚 vs 蒙扎,2-0,0-0,36*,0.95,0.25,0.98,20250128022449
热那亚 vs 蒙扎,2-0,0-0,36*,0.96,0.25,0.97,20250128021131
热那亚 vs 蒙扎,2-0,0-0,36*,0.97,0.25,0.96,20250128020903
热那亚 vs 蒙扎,2-0,0-0,36*,0.95,0.25,0.98,20250128005359
热那亚 vs 蒙扎,2-0,0-0,36*,0.94,0.25,0.99,20250128003720
热那亚 vs 蒙扎,2-0,0-0,36*,0.93,0.25,1.0,20250128003603
热那亚 vs 蒙扎,2-0,0-0,36*,0.94,0.25,0.99,20250128003534
热那亚 vs 蒙扎,2-0,0-0,36*,0.93,0.25,1.0,20250127230737
热那亚 vs 蒙扎,2-0,0-0,36*,0.92,0.25,1.01,20250127225601
热那亚 vs 蒙扎,2-0,0-0,36*,0.91,0.25,1.02,20250127220124
热那亚 vs 蒙扎,2-0,0-0,36*,0.9,0.25,1.03,20250127213843
