Teams,FT Score,HT Score,Bookmaker,Home Odds,Handicap,Away Odds,Timestamp
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.86,0.0,1.0,20250113004930
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.9,0.0,0.96,20250113002131
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.88,0.0,0.98,20250112235113
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.8,0.0,1.06,20250112233502
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.9,0.0,0.96,20250112233409
博洛尼亚 vs 罗马,2-2,0-0,澳*,0.95,0.0,0.91,20250110151536
博洛尼亚 vs 罗马,2-2,0-0,澳*,1.06,0.0,0.8,20250109071105
博洛尼亚 vs 罗马,2-2,0-0,澳*,1.08,0.0,0.78,20250108061307
博洛尼亚 vs 罗马,2-2,0-0,澳*,1.01,0.0,0.85,20250107075652
博洛尼亚 vs 罗马,2-2,0-0,澳*,1.02,0.0,0.84,20250107075556
博洛尼亚 vs 罗马,2-2,0-0,澳*,1.0,0.0,0.86,20250106181620
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.84,0.0,1.05,20250113005745
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.83,0.0,1.06,20250113005530
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.84,0.0,1.05,20250113005239
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.85,0.0,1.04,20250113005058
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.86,0.0,1.03,20250113004736
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.87,0.0,1.02,20250113004522
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.88,0.0,1.01,20250113004157
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.89,0.0,1.0,20250113004049
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250113003942
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250113002604
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250113002053
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250113001822
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250113001250
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250113000901
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250113000109
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112235541
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112235318
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112235243
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112235054
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112235019
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250112234943
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.89,0.0,1.0,20250112234907
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.88,0.0,1.01,20250112234830
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112234754
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.89,0.0,1.0,20250112234641
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.88,0.0,1.01,20250112234114
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.85,0.0,1.04,20250112233320
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.86,0.0,1.03,20250112233244
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250112233207
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112231223
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112230156
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250112223333
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112221829
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112220851
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250112215834
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112213654
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112213536
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112213414
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112213133
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112213013
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112212613
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112210241
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112210202
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112205304
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112204541
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112204500
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112203822
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112203701
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112203420
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112203135
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.98,0.0,0.91,20250112201103
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.97,0.0,0.92,20250112201022
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112200817
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.97,0.0,0.92,20250112200734
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112195757
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112194900
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112194817
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112173845
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112173803
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112173049
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112170702
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112164947
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112145408
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112145326
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.93,0.0,0.96,20250112140449
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112140409
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.91,0.0,0.98,20250112130954
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.9,0.0,0.99,20250112125303
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112124514
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.87,0.0,1.02,20250112124435
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.92,0.0,0.97,20250112124316
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.99,0.0,0.9,20250112124119
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.96,0.0,0.93,20250112124000
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.95,0.0,0.94,20250112120646
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.95,20250112052316
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.94,0.0,0.94,20250111122743
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.98,0.0,0.9,20250110091923
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.03,0.0,0.85,20250109213856
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.04,0.0,0.84,20250109155538
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.06,0.0,0.82,20250109065648
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.09,0.0,0.79,20250107222951
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.02,0.0,0.86,20250106122247
博洛尼亚 vs 罗马,2-2,0-0,Crow*,1.01,0.0,0.87,20250106061146
博洛尼亚 vs 罗马,2-2,0-0,Crow*,0.98,0.0,0.9,20241231060629
博洛尼亚 vs 罗马,2-2,0-0,36*,0.89,0.0,1.01,20250113004451
博洛尼亚 vs 罗马,2-2,0-0,36*,0.93,0.0,1.0,20250113004350
博洛尼亚 vs 罗马,2-2,0-0,36*,0.94,0.0,0.99,20250113002905
博洛尼亚 vs 罗马,2-2,0-0,36*,0.95,0.0,0.98,20250113001158
博洛尼亚 vs 罗马,2-2,0-0,36*,0.96,0.0,0.97,20250112235428
博洛尼亚 vs 罗马,2-2,0-0,36*,0.89,0.0,1.04,20250112234810
博洛尼亚 vs 罗马,2-2,0-0,36*,0.9,0.0,1.03,20250112234604
博洛尼亚 vs 罗马,2-2,0-0,36*,0.89,0.0,1.04,20250112234152
博洛尼亚 vs 罗马,2-2,0-0,36*,0.88,0.0,1.05,20250112233942
